group,seq,event_type,stage
G7,702,help_click,S1
G7,703,help_click,S1
G7,704,help_click,S1
G7,705,help_click,S1
G7,706,help_click,S1
G7,707,help_click,S1
G7,708,help_click,S1
G7,709,help_click,S1
G7,710,help_click,S1
G7,711,help_click,S1
G7,712,help_click,S1
G7,713,help_click,S1
G7,714,help_click,S1
G7,715,help_click,S1
G7,716,help_click,S1
G7,717,help_click,S1
G7,718,help_click,S1
G7,719,help_click,S1
G7,720,help_click,S1
G7,721,help_click,S1
G7,722,help_click,S1
G7,723,help_click,S1
G7,724,help_click,S1
G7,725,help_click,S1
G7,726,help_click,S1
G7,727,help_click,S1
G7,728,help_click,S1
G7,729,help_click,S1
G7,730,help_click,S1
G7,731,help_click,S1
G7,732,help_click,S1
G7,733,help_click,S1
G7,734,help_click,S1
G7,735,help_click,S1
G7,736,help_click,S1
G7,737,help_click,S1
G7,738,help_click,S1
G7,739,help_click,S1
G7,740,help_click,S1
G7,741,help_click,S1
G7,742,help_click,S1
G7,743,help_click,S1
G7,744,help_click,S1
G7,745,help_click,S1
G7,746,help_click,S1
G7,747,help_click,S1
G7,748,help_click,S1
G7,749,help_click,S1
G7,750,help_click,S1
G7,751,help_click,S1
G7,752,help_click,S1
G7,753,help_click,S1
G7,754,help_click,S1
G7,755,help_click,S1
G7,756,help_click,S1
G7,757,help_click,S1
G7,758,help_click,S1
G7,759,help_click,S1
G7,760,help_click,S1
G7,761,help_click,S1
G7,762,help_click,S1
G7,763,help_click,S1
G7,764,help_click,S1
G7,765,help_click,S1
G7,766,help_click,S1
G7,767,help_click,S1
G7,768,help_click,S1
G7,769,help_click,S1
G7,770,help_click,S1
G7,771,help_click,S1
G7,772,help_click,S1
G7,773,help_click,S1
G7,774,help_click,S1
G7,775,help_click,S1
G7,776,help_click,S1
G7,777,help_click,S1
G7,778,help_click,S1
G7,779,submit,S1
G7,780,navigate,S2
G7,781,help_click,S2
G7,782,help_click,S2
G7,783,help_click,S2
G7,784,help_click,S2
G7,785,help_click,S2
G7,786,help_click,S2
G7,787,help_click,S2
G7,788,help_click,S2
G7,789,help_click,S2
G7,790,help_click,S2
G7,791,help_click,S2
G7,792,help_click,S2
G7,793,help_click,S2
G7,794,help_click,S2
G7,795,help_click,S2
G7,796,help_click,S2
G7,797,help_click,S2
G7,798,help_click,S2
G7,799,help_click,S2
G7,800,help_click,S2
G7,801,help_click,S2
G7,802,help_click,S2
G7,803,help_click,S2
G7,804,help_click,S2
G7,805,help_click,S2
G7,806,help_click,S2
G7,807,help_click,S2
G7,808,help_click,S2
G7,809,help_click,S2
G7,810,help_click,S2
G7,811,help_click,S2
G7,812,help_click,S2
G7,813,help_click,S2
G7,814,help_click,S2
G7,815,help_click,S2
G7,816,help_click,S2
G7,817,help_click,S2
G7,818,help_click,S2
G7,819,help_click,S2
G7,820,help_click,S2
G7,821,help_click,S2
G7,822,help_click,S2
G7,823,help_click,S2
G7,824,help_click,S2
G7,825,help_click,S2
G7,826,help_click,S2
G7,827,help_click,S2
G7,828,help_click,S2
G7,829,help_click,S2
G7,830,help_click,S2
G7,831,help_click,S2
G7,832,help_click,S2
G7,833,help_click,S2
G7,834,help_click,S2
G7,835,help_click,S2
G7,836,help_click,S2
G7,837,help_click,S2
G7,838,help_click,S2
G7,839,help_click,S2
G7,840,help_click,S2
G7,841,help_click,S2
G7,842,help_click,S2
G7,843,help_click,S2
G7,844,help_click,S2
G7,845,help_click,S2
G7,846,help_click,S2
G7,847,help_click,S2
G7,848,help_click,S2
G7,849,help_click,S2
G7,850,help_click,S2
G7,851,help_click,S2
G7,852,help_click,S2
G7,853,help_click,S2
G7,854,help_click,S2
G7,855,help_click,S2
G7,856,help_click,S2
G7,857,help_click,S2
G7,858,help_click,S2
G7,859,help_click,S2
G7,860,help_click,S2
G7,861,help_click,S2
G7,862,help_click,S2
G7,863,help_click,S2
G7,864,help_click,S2
G7,865,help_click,S2
G7,866,help_click,S2
G7,867,help_click,S2
G7,868,help_click,S2
G7,869,help_click,S2
G7,870,help_click,S2
G7,871,help_click,S2
G7,872,help_click,S2
G7,873,help_click,S2
G7,874,help_click,S2
G7,875,help_click,S2
G7,876,help_click,S2
G7,877,help_click,S2
G7,878,help_click,S2
G7,879,help_click,S2
G7,880,help_click,S2
G7,881,help_click,S2
G7,882,help_click,S2
G7,883,help_click,S2
G7,884,help_click,S2
G7,885,help_click,S2
G7,886,help_click,S2
G7,887,help_click,S2
G7,888,help_click,S2
G7,889,help_click,S2
G7,890,help_click,S2
G7,891,help_click,S2
G7,892,help_click,S2
G7,893,help_click,S2
G7,894,help_click,S2
G7,895,help_click,S2
G7,896,help_click,S2
G7,897,help_click,S2
G7,898,help_click,S2
G7,899,help_click,S2
G7,900,help_click,S2
G7,901,help_click,S2
G7,902,help_click,S2
G7,903,help_click,S2
G7,904,help_click,S2
G7,905,help_click,S2
G7,906,help_click,S2
G7,907,help_click,S2
G7,908,help_click,S2
G7,909,help_click,S2
G7,910,help_click,S2
G7,911,help_click,S2
G7,912,help_click,S2
G7,913,help_click,S2
G7,914,help_click,S2
G7,915,help_click,S2
G7,916,help_click,S2
G7,917,help_click,S2
G7,918,help_click,S2
G7,919,help_click,S2
G7,920,help_click,S2
G7,921,help_click,S2
G7,922,help_click,S2
G7,923,help_click,S2
G7,924,help_click,S2
G7,925,help_click,S2
G7,926,help_click,S2
G7,927,help_click,S2
G7,928,help_click,S2
G7,929,help_click,S2
G7,930,help_click,S2
G7,931,help_click,S2
G7,932,help_click,S2
G7,933,help_click,S2
G7,934,help_click,S2
G7,935,help_click,S2
G7,936,help_click,S2
G7,937,help_click,S2
G7,938,help_click,S2
G7,939,help_click,S2
G7,940,help_click,S2
G7,941,help_click,S2
G7,942,help_click,S2
G7,943,help_click,S2
G7,944,help_click,S2
G7,945,help_click,S2
G7,946,help_click,S2
G7,947,help_click,S2
G7,948,help_click,S2
G7,949,help_click,S2
G7,950,help_click,S2
G7,951,help_click,S2
G7,952,help_click,S2
G7,953,help_click,S2
G7,954,help_click,S2
G7,955,help_click,S2
G7,956,help_click,S2
G7,957,help_click,S2
G7,958,help_click,S2
G7,959,help_click,S2
G7,960,help_click,S2
G7,961,help_click,S2
G7,962,help_click,S2
G7,963,help_click,S2
G7,964,help_click,S2
G7,965,help_click,S2
G7,966,help_click,S2
G7,967,help_click,S2
G7,968,help_click,S2
G7,969,help_click,S2
G7,970,help_click,S2
G7,971,help_click,S2
G7,972,help_click,S2
G7,973,help_click,S2
G7,974,help_click,S2
G7,975,help_click,S2
G7,976,help_click,S2
G7,977,help_click,S2
G7,978,help_click,S2
G7,979,help_click,S2
G7,980,help_click,S2
G7,981,help_click,S2
G7,982,help_click,S2
G7,983,help_click,S2
G7,984,help_click,S2
G7,985,help_click,S2
G7,986,help_click,S2
G7,987,help_click,S2
G7,988,help_click,S2
G7,989,help_click,S2
G7,990,help_click,S2
G7,991,help_click,S2
G7,992,help_click,S2
G7,993,help_click,S2
G7,994,help_click,S2
G7,995,help_click,S2
G7,996,help_click,S2
G7,997,help_click,S2
G7,998,help_click,S2
G7,999,help_click,S2
G7,1000,help_click,S2
G7,1001,help_click,S2
G7,1002,help_click,S2
G7,1003,help_click,S2
G7,1004,help_click,S2
G7,1005,help_click,S2
G7,1006,help_click,S2
G7,1007,help_click,S2
G7,1008,help_click,S2
G7,1009,help_click,S2
G7,1010,help_click,S2
G7,1011,help_click,S2
G7,1012,help_click,S2
G7,1013,help_click,S2
G7,1014,help_click,S2
G7,1015,help_click,S2
G7,1016,help_click,S2
G7,1017,help_click,S2
G7,1018,help_click,S2
G7,1019,help_click,S2
G7,1020,help_click,S2
G7,1021,help_click,S2
G7,1022,help_click,S2
G7,1023,help_click,S2
G7,1024,help_click,S2
G7,1025,help_click,S2
G7,1026,help_click,S2
G7,1027,help_click,S2
G7,1028,help_click,S2
G7,1029,help_click,S2
G7,1030,help_click,S2
G7,1031,help_click,S2
G7,1032,help_click,S2
G7,1033,help_click,S2
G7,1034,help_click,S2
G7,1035,help_click,S2
G7,1036,help_click,S2
G7,1037,help_click,S2
G7,1038,help_click,S2
G7,1039,help_click,S2
G7,1040,help_click,S2
G7,1041,help_click,S2
G7,1042,help_click,S2
G7,1043,help_click,S2
G7,1044,help_click,S2
G7,1045,help_click,S2
G7,1046,help_click,S2
G7,1047,help_click,S2
G7,1048,help_click,S2
G7,1049,help_click,S2
G7,1050,help_click,S2
G7,1051,help_click,S2
G7,1052,help_click,S2
G7,1053,help_click,S2
G7,1054,help_click,S2
G7,1055,help_click,S2
G7,1056,help_click,S2
G7,1057,help_click,S2
G7,1058,help_click,S2
G7,1059,help_click,S2
G7,1060,help_click,S2
G7,1061,help_click,S2
G7,1062,help_click,S2
G7,1063,help_click,S2
G7,1064,help_click,S2
G7,1065,help_click,S2
G7,1066,help_click,S2
G7,1067,help_click,S2
G7,1068,help_click,S2
G7,1069,help_click,S2
G7,1070,help_click,S2
G7,1071,help_click,S2
G7,1072,help_click,S2
G7,1073,help_click,S2
G7,1074,help_click,S2
G7,1075,help_click,S2
G7,1076,help_click,S2
G7,1077,help_click,S2
G7,1078,help_click,S2
G7,1079,help_click,S2
G7,1080,help_click,S2
G7,1081,help_click,S2
G7,1082,help_click,S2
G7,1083,help_click,S2
G7,1084,help_click,S2
G7,1085,help_click,S2
G7,1086,help_click,S2
G7,1087,help_click,S2
G7,1088,help_click,S2
G7,1089,help_click,S2
G7,1090,help_click,S2
G7,1091,help_click,S2
G7,1092,help_click,S2
G7,1093,help_click,S2
G7,1094,help_click,S2
G7,1095,help_click,S2
G7,1096,help_click,S2
G7,1097,help_click,S2
G7,1098,help_click,S2
G7,1099,help_click,S2
G7,1100,help_click,S2
G7,1101,help_click,S2
G7,1102,help_click,S2
G7,1103,help_click,S2
G7,1104,help_click,S2
G7,1105,help_click,S2
G7,1106,help_click,S2
G7,1107,help_click,S2
G7,1108,submit,S2
G7,1109,navigate,S3
G7,1110,help_click,S3
G7,1111,help_click,S3
G7,1112,help_click,S3
G7,1113,help_click,S3
G7,1114,help_click,S3
G7,1115,help_click,S3
G7,1116,help_click,S3
G7,1117,help_click,S3
G7,1118,help_click,S3
G7,1119,help_click,S3
G7,1120,help_click,S3
G7,1121,help_click,S3
G7,1122,help_click,S3
G7,1123,help_click,S3
G7,1124,help_click,S3
G7,1125,help_click,S3
G7,1126,help_click,S3
G7,1127,help_click,S3
G7,1128,help_click,S3
G7,1129,help_click,S3
G7,1130,help_click,S3
G7,1131,help_click,S3
G7,1132,help_click,S3
G7,1133,help_click,S3
G7,1134,help_click,S3
G7,1135,help_click,S3
G7,1136,help_click,S3
G7,1137,help_click,S3
G7,1138,help_click,S3
G7,1139,help_click,S3
G7,1140,help_click,S3
G7,1141,help_click,S3
G7,1142,help_click,S3
G7,1143,help_click,S3
G7,1144,help_click,S3
G7,1145,help_click,S3
G7,1146,help_click,S3
G7,1147,help_click,S3
G7,1148,help_click,S3
G7,1149,help_click,S3
G7,1150,help_click,S3
G7,1151,help_click,S3
G7,1152,help_click,S3
G7,1153,help_click,S3
G7,1154,help_click,S3
G7,1155,help_click,S3
G7,1156,help_click,S3
G7,1157,help_click,S3
G7,1158,help_click,S3
G7,1159,help_click,S3
G7,1160,help_click,S3
G7,1161,help_click,S3
G7,1162,help_click,S3
G7,1163,help_click,S3
G7,1164,help_click,S3
G7,1165,help_click,S3
G7,1166,help_click,S3
G7,1167,help_click,S3
G7,1168,help_click,S3
G7,1169,help_click,S3
G7,1170,help_click,S3
G7,1171,help_click,S3
G7,1172,help_click,S3
G7,1173,help_click,S3
G7,1174,help_click,S3
G7,1175,help_click,S3
G7,1176,help_click,S3
G7,1177,help_click,S3
G7,1178,help_click,S3
G7,1179,help_click,S3
G7,1180,help_click,S3
G7,1181,help_click,S3
G7,1182,help_click,S3
G7,1183,help_click,S3
G7,1184,help_click,S3
G7,1185,help_click,S3
G7,1186,help_click,S3
G7,1187,help_click,S3
G7,1188,help_click,S3
G7,1189,help_click,S3
G7,1190,help_click,S3
G7,1191,help_click,S3
G7,1192,help_click,S3
G7,1193,help_click,S3
G7,1194,help_click,S3
G7,1195,help_click,S3
G7,1196,help_click,S3
G7,1197,help_click,S3
G7,1198,help_click,S3
G7,1199,help_click,S3
G7,1200,help_click,S3
G7,1201,help_click,S3
G7,1202,help_click,S3
G7,1203,help_click,S3
G7,1204,help_click,S3
G7,1205,help_click,S3
G7,1206,help_click,S3
G7,1207,help_click,S3
G7,1208,help_click,S3
G7,1209,help_click,S3
G7,1210,help_click,S3
G7,1211,help_click,S3
G7,1212,help_click,S3
G7,1213,help_click,S3
G7,1214,help_click,S3
G7,1215,help_click,S3
G7,1216,help_click,S3
G7,1217,help_click,S3
G7,1218,help_click,S3
G7,1219,help_click,S3
G7,1220,help_click,S3
G7,1221,help_click,S3
G7,1222,help_click,S3
G7,1223,help_click,S3
G7,1224,help_click,S3
G7,1225,help_click,S3
G7,1226,help_click,S3
G7,1227,help_click,S3
G7,1228,help_click,S3
G7,1229,help_click,S3
G7,1230,help_click,S3
G7,1231,help_click,S3
G7,1232,help_click,S3
G7,1233,help_click,S3
G7,1234,help_click,S3
G7,1235,help_click,S3
G7,1236,help_click,S3
G7,1237,help_click,S3
G7,1238,help_click,S3
G7,1239,help_click,S3
G7,1240,help_click,S3
G7,1241,help_click,S3
G7,1242,help_click,S3
G7,1243,help_click,S3
G7,1244,help_click,S3
G7,1245,help_click,S3
G7,1246,help_click,S3
G7,1247,help_click,S3
G7,1248,help_click,S3
G7,1249,help_click,S3
G7,1250,help_click,S3
G7,1251,help_click,S3
G7,1252,help_click,S3
G7,1253,help_click,S3
G7,1254,help_click,S3
G7,1255,help_click,S3
G7,1256,help_click,S3
G7,1257,help_click,S3
G7,1258,help_click,S3
G7,1259,help_click,S3
G7,1260,help_click,S3
G7,1261,help_click,S3
G7,1262,help_click,S3
G7,1263,help_click,S3
G7,1264,help_click,S3
G7,1265,help_click,S3
G7,1266,help_click,S3
G7,1267,help_click,S3
G7,1268,help_click,S3
G7,1269,help_click,S3
G7,1270,help_click,S3
G7,1271,help_click,S3
G7,1272,help_click,S3
G7,1273,help_click,S3
G7,1274,help_click,S3
G7,1275,help_click,S3
G7,1276,help_click,S3
G7,1277,help_click,S3
G7,1278,help_click,S3
G7,1279,help_click,S3
G7,1280,help_click,S3
G7,1281,help_click,S3
G7,1282,help_click,S3
G7,1283,help_click,S3
G7,1284,help_click,S3
G7,1285,help_click,S3
G7,1286,help_click,S3
G7,1287,help_click,S3
G7,1288,help_click,S3
G7,1289,help_click,S3
G7,1290,help_click,S3
G7,1291,help_click,S3
G7,1292,help_click,S3
G7,1293,help_click,S3
G7,1294,help_click,S3
G7,1295,help_click,S3
G7,1296,help_click,S3
G7,1297,help_click,S3
G7,1298,help_click,S3
G7,1299,help_click,S3
G7,1300,help_click,S3
G7,1301,help_click,S3
G7,1302,help_click,S3
G7,1303,help_click,S3
G7,1304,help_click,S3
G7,1305,help_click,S3
G7,1306,help_click,S3
G7,1307,help_click,S3
G7,1308,help_click,S3
G7,1309,help_click,S3
G7,1310,help_click,S3
G7,1311,help_click,S3
G7,1312,help_click,S3
G7,1313,help_click,S3
G7,1314,help_click,S3
G7,1315,help_click,S3
G7,1316,help_click,S3
G7,1317,help_click,S3
G7,1318,help_click,S3
G7,1319,help_click,S3
G7,1320,help_click,S3
G7,1321,help_click,S3
G7,1322,help_click,S3
G7,1323,help_click,S3
G7,1324,help_click,S3
G7,1325,help_click,S3
G7,1326,help_click,S3
G7,1327,help_click,S3
G7,1328,help_click,S3
G7,1329,help_click,S3
G7,1330,help_click,S3
G7,1331,help_click,S3
G7,1332,help_click,S3
G7,1333,help_click,S3
G7,1334,help_click,S3
G7,1335,help_click,S3
G7,1336,help_click,S3
G7,1337,help_click,S3
G7,1338,help_click,S3
G7,1339,help_click,S3
G7,1340,help_click,S3
G7,1341,help_click,S3
G7,1342,help_click,S3
G7,1343,help_click,S3
G7,1344,help_click,S3
G7,1345,help_click,S3
G7,1346,help_click,S3
G7,1347,help_click,S3
G7,1348,help_click,S3
G7,1349,help_click,S3
G7,1350,help_click,S3
G7,1351,help_click,S3
G7,1352,help_click,S3
G7,1353,help_click,S3
G7,1354,help_click,S3
G7,1355,help_click,S3
G7,1356,help_click,S3
G7,1357,help_click,S3
G7,1358,help_click,S3
G7,1359,help_click,S3
G7,1360,help_click,S3
G7,1361,help_click,S3
G7,1362,help_click,S3
G7,1363,help_click,S3
G7,1364,help_click,S3
G7,1365,help_click,S3
G7,1366,help_click,S3
G7,1367,help_click,S3
G7,1368,help_click,S3
G7,1369,help_click,S3
G7,1370,help_click,S3
G7,1371,help_click,S3
G7,1372,help_click,S3
G7,1373,help_click,S3
G7,1374,help_click,S3
G7,1375,help_click,S3
G7,1376,help_click,S3
G7,1377,help_click,S3
G7,1378,help_click,S3
G7,1379,help_click,S3
G7,1380,help_click,S3
G7,1381,help_click,S3
G7,1382,help_click,S3
G7,1383,help_click,S3
G7,1384,help_click,S3
G7,1385,help_click,S3
G7,1386,help_click,S3
G7,1387,help_click,S3
G7,1388,help_click,S3
G7,1389,help_click,S3
G7,1390,help_click,S3
G7,1391,help_click,S3
G7,1392,help_click,S3
G7,1393,help_click,S3
G7,1394,help_click,S3
G7,1395,help_click,S3
G7,1396,help_click,S3
G7,1397,help_click,S3
G7,1398,help_click,S3
G7,1399,help_click,S3
G7,1400,help_click,S3
G7,1401,help_click,S3
G7,1402,help_click,S3
G7,1403,help_click,S3
G7,1404,help_click,S3
G7,1405,help_click,S3
G7,1406,help_click,S3
G7,1407,help_click,S3
G7,1408,help_click,S3
G7,1409,help_click,S3
G7,1410,help_click,S3
G7,1411,help_click,S3
G7,1412,help_click,S3
G7,1413,help_click,S3
G7,1414,help_click,S3
G7,1415,help_click,S3
G7,1416,help_click,S3
G7,1417,help_click,S3
G7,1418,help_click,S3
G7,1419,help_click,S3
G7,1420,help_click,S3
G7,1421,help_click,S3
G7,1422,help_click,S3
G7,1423,help_click,S3
G7,1424,help_click,S3
G7,1425,help_click,S3
G7,1426,help_click,S3
G7,1427,help_click,S3
G7,1428,help_click,S3
G7,1429,help_click,S3
G7,1430,help_click,S3
G7,1431,help_click,S3
G7,1432,help_click,S3
G7,1433,help_click,S3
G7,1434,help_click,S3
G7,1435,help_click,S3
G7,1436,help_click,S3
G7,1437,submit,S3
G7,1438,navigate,S4
G7,1439,help_click,S4
G7,1440,help_click,S4
G7,1441,help_click,S4
G7,1442,help_click,S4
G7,1443,help_click,S4
G7,1444,help_click,S4
G7,1445,help_click,S4
G7,1446,help_click,S4
G7,1447,help_click,S4
G7,1448,help_click,S4
G7,1449,help_click,S4
G7,1450,help_click,S4
G7,1451,help_click,S4
G7,1452,help_click,S4
G7,1453,help_click,S4
G7,1454,help_click,S4
G7,1455,help_click,S4
G7,1456,help_click,S4
G7,1457,help_click,S4
G7,1458,help_click,S4
G7,1459,help_click,S4
G7,1460,help_click,S4
G7,1461,help_click,S4
G7,1462,help_click,S4
G7,1463,help_click,S4
G7,1464,help_click,S4
G7,1465,help_click,S4
G7,1466,help_click,S4
G7,1467,help_click,S4
G7,1468,help_click,S4
G7,1469,help_click,S4
G7,1470,help_click,S4
G7,1471,help_click,S4
G7,1472,help_click,S4
G7,1473,help_click,S4
G7,1474,help_click,S4
G7,1475,help_click,S4
G7,1476,help_click,S4
G7,1477,help_click,S4
G7,1478,help_click,S4
G7,1479,help_click,S4
G7,1480,help_click,S4
G7,1481,help_click,S4
G7,1482,help_click,S4
G7,1483,help_click,S4
G7,1484,help_click,S4
G7,1485,help_click,S4
G7,1486,help_click,S4
G7,1487,help_click,S4
G7,1488,help_click,S4
G7,1489,help_click,S4
G7,1490,help_click,S4
G7,1491,help_click,S4
G7,1492,help_click,S4
G7,1493,help_click,S4
G7,1494,help_click,S4
G7,1495,help_click,S4
G7,1496,help_click,S4
G7,1497,help_click,S4
G7,1498,help_click,S4
G7,1499,help_click,S4
G7,1500,help_click,S4
G7,1501,help_click,S4
G7,1502,help_click,S4
G7,1503,help_click,S4
G7,1504,help_click,S4
G7,1505,help_click,S4
G7,1506,help_click,S4
G7,1507,help_click,S4
G7,1508,help_click,S4
G7,1509,help_click,S4
G7,1510,help_click,S4
G7,1511,help_click,S4
G7,1512,help_click,S4
G7,1513,help_click,S4
G7,1514,help_click,S4
G7,1515,help_click,S4
G7,1516,help_click,S4
G7,1517,help_click,S4
G7,1518,help_click,S4
G7,1519,help_click,S4
G7,1520,help_click,S4
G7,1521,help_click,S4
G7,1522,help_click,S4
G7,1523,help_click,S4
G7,1524,help_click,S4
G7,1525,help_click,S4
G7,1526,help_click,S4
G7,1527,help_click,S4
G7,1528,help_click,S4
G7,1529,help_click,S4
G7,1530,help_click,S4
G7,1531,help_click,S4
G7,1532,help_click,S4
G7,1533,help_click,S4
G7,1534,help_click,S4
G7,1535,help_click,S4
G7,1536,help_click,S4
G7,1537,help_click,S4
G7,1538,help_click,S4
G7,1539,help_click,S4
G7,1540,help_click,S4
G7,1541,help_click,S4
G7,1542,help_click,S4
G7,1543,help_click,S4
G7,1544,help_click,S4
G7,1545,help_click,S4
G7,1546,help_click,S4
G7,1547,help_click,S4
G7,1548,help_click,S4
G7,1549,help_click,S4
G7,1550,help_click,S4
G7,1551,help_click,S4
G7,1552,help_click,S4
G7,1553,help_click,S4
G7,1554,help_click,S4
G7,1555,help_click,S4
G7,1556,help_click,S4
G7,1557,help_click,S4
G7,1558,help_click,S4
G7,1559,help_click,S4
G7,1560,help_click,S4
G7,1561,help_click,S4
G7,1562,help_click,S4
G7,1563,help_click,S4
G7,1564,help_click,S4
G7,1565,help_click,S4
G7,1566,help_click,S4
G7,1567,help_click,S4
G7,1568,help_click,S4
G7,1569,help_click,S4
G7,1570,help_click,S4
G7,1571,help_click,S4
G7,1572,help_click,S4
G7,1573,help_click,S4
G7,1574,help_click,S4
G7,1575,help_click,S4
G7,1576,help_click,S4
G7,1577,help_click,S4
G7,1578,help_click,S4
G7,1579,help_click,S4
G7,1580,help_click,S4
G7,1581,help_click,S4
G7,1582,help_click,S4
G7,1583,help_click,S4
G7,1584,help_click,S4
G7,1585,help_click,S4
G7,1586,help_click,S4
G7,1587,help_click,S4
G7,1588,help_click,S4
G7,1589,help_click,S4
G7,1590,help_click,S4
G7,1591,help_click,S4
G7,1592,help_click,S4
G7,1593,help_click,S4
G7,1594,help_click,S4
G7,1595,help_click,S4
G7,1596,help_click,S4
G7,1597,help_click,S4
G7,1598,help_click,S4
G7,1599,help_click,S4
G7,1600,help_click,S4
G7,1601,help_click,S4
G7,1602,help_click,S4
G7,1603,help_click,S4
G7,1604,help_click,S4
G7,1605,help_click,S4
G7,1606,help_click,S4
G7,1607,help_click,S4
G7,1608,help_click,S4
G7,1609,help_click,S4
G7,1610,help_click,S4
G7,1611,help_click,S4
G7,1612,help_click,S4
G7,1613,help_click,S4
G7,1614,help_click,S4
G7,1615,help_click,S4
G7,1616,help_click,S4
G7,1617,help_click,S4
